,species,chemical,log conc (mol/L),species_divisions,species_others,subClassOf,smiles,smiles_clusters
93,https://cfpub.epa.gov/ecotox/taxon/16141,https://cfpub.epa.gov/ecotox/cas/168316958,5.090180825907571,https://cfpub.epa.gov/ecotox/group/Insects/Spiders,,http://purl.obolibrary.org/obo/CHEBI_33832,CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C.CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C(=CC3C2CC(=O)O1)C)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C,3
94,https://cfpub.epa.gov/ecotox/taxon/16175,https://cfpub.epa.gov/ecotox/cas/168316958,3.6070692074987214,https://cfpub.epa.gov/ecotox/group/Insects/Spiders,,http://purl.obolibrary.org/obo/CHEBI_33832,CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C.CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C(=CC3C2CC(=O)O1)C)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C,3
95,https://cfpub.epa.gov/ecotox/taxon/1618,https://cfpub.epa.gov/ecotox/cas/7601890,1.2613626050671132,https://cfpub.epa.gov/ecotox/group/Molluscs,https://cfpub.epa.gov/ecotox/group/U.S.Exotic/NuisanceSpecies,,[O-]Cl(=O)(=O)=O.[Na+],1
96,https://cfpub.epa.gov/ecotox/taxon/1618,https://cfpub.epa.gov/ecotox/cas/7758987,5.513881115592098,https://cfpub.epa.gov/ecotox/group/Molluscs,https://cfpub.epa.gov/ecotox/group/U.S.Exotic/NuisanceSpecies,,[O-]S(=O)(=O)[O-].[Cu+2],0
97,https://cfpub.epa.gov/ecotox/taxon/16290,https://cfpub.epa.gov/ecotox/cas/153719234,2.865131267083166,https://cfpub.epa.gov/ecotox/group/Insects/Spiders,,http://purl.obolibrary.org/obo/CHEBI_33832,CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl,2
98,https://cfpub.epa.gov/ecotox/taxon/16358,https://cfpub.epa.gov/ecotox/cas/10108642,1.998881176787925,https://cfpub.epa.gov/ecotox/group/Fish,,,Cl[Cd]Cl,1
99,https://cfpub.epa.gov/ecotox/taxon/16358,https://cfpub.epa.gov/ecotox/cas/7487947,3.2235706759911604,https://cfpub.epa.gov/ecotox/group/Fish,,,Cl[Hg]Cl,1
100,https://cfpub.epa.gov/ecotox/taxon/16358,https://cfpub.epa.gov/ecotox/cas/7758987,3.2500705189421746,https://cfpub.epa.gov/ecotox/group/Fish,,,[O-]S(=O)(=O)[O-].[Cu+2],0
101,https://cfpub.epa.gov/ecotox/taxon/16360,https://cfpub.epa.gov/ecotox/cas/10108642,2.0591284853731078,https://cfpub.epa.gov/ecotox/group/Fish,,,Cl[Cd]Cl,1
102,https://cfpub.epa.gov/ecotox/taxon/16360,https://cfpub.epa.gov/ecotox/cas/7487947,3.1865596464654646,https://cfpub.epa.gov/ecotox/group/Fish,,,Cl[Hg]Cl,1
